"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 19 11:13:13 TRT 2026","Sun Jul 19 11:13:15 TRT 2026","2047","","praktikum.CreateOrderTest","","praktikum.CreateOrderTest","createOrderWithoutAuthReturnsOk","Создание заказа без авторизации",""
"passed","Sun Jul 19 11:12:49 TRT 2026","Sun Jul 19 11:12:59 TRT 2026","10769","","praktikum.CreateOrderTest","","praktikum.CreateOrderTest","createOrderWithoutIngredientsReturnsBadRequest","Создание заказа без ингредиентов",""
"passed","Sun Jul 19 11:13:15 TRT 2026","Sun Jul 19 11:13:16 TRT 2026","345","","praktikum.CreateUserTest","","praktikum.CreateUserTest","createUserWithoutRequiredFieldReturnsForbidden","Создание пользователя без обязательного поля",""
"passed","Sun Jul 19 11:13:16 TRT 2026","Sun Jul 19 11:13:17 TRT 2026","1385","","praktikum.CreateUserTest","","praktikum.CreateUserTest","createUniqueUserReturnsOk","Создание уникального пользователя",""
"passed","Sun Jul 19 11:13:20 TRT 2026","Sun Jul 19 11:13:22 TRT 2026","1794","","praktikum.LoginUserTest","","praktikum.LoginUserTest","loginExistingUserReturnsOk","Вход под существующим пользователем",""
"passed","Sun Jul 19 11:13:11 TRT 2026","Sun Jul 19 11:13:13 TRT 2026","2339","","praktikum.CreateOrderTest","","praktikum.CreateOrderTest","createOrderWithInvalidIngredientHashReturnsInternalServerError","Создание заказа с неверным хешем ингредиентов",""
"passed","Sun Jul 19 11:13:19 TRT 2026","Sun Jul 19 11:13:20 TRT 2026","1709","","praktikum.LoginUserTest","","praktikum.LoginUserTest","loginWithWrongCredentialsReturnsUnauthorized","Вход с неверным логином и паролем",""
"passed","Sun Jul 19 11:13:05 TRT 2026","Sun Jul 19 11:13:11 TRT 2026","5629","","praktikum.CreateOrderTest","","praktikum.CreateOrderTest","createOrderWithIngredientsReturnsOk","Создание заказа с ингредиентами",""
"passed","Sun Jul 19 11:13:00 TRT 2026","Sun Jul 19 11:13:05 TRT 2026","5742","","praktikum.CreateOrderTest","","praktikum.CreateOrderTest","createOrderWithAuthReturnsOk","Создание заказа с авторизацией",""
"passed","Sun Jul 19 11:13:17 TRT 2026","Sun Jul 19 11:13:19 TRT 2026","1688","","praktikum.CreateUserTest","","praktikum.CreateUserTest","createExistingUserReturnsForbidden","Создание уже зарегистрированного пользователя",""
